No.,ID,TIMESTAMP
1,20466,1745413080036
2,15446,1745413085048
3,17080,1745413090057
4,6139,1745413095057
5,10640,1745413100059
6,24844,1745413105067
7,613,1745413110073
8,2301,1745413115077
9,26365,1745413120083
10,15727,1745413125087
11,9863,1745413130103
12,16158,1745413135099
13,1288,1745413140101
14,25722,1745413145104
15,26357,1745413150113
16,16345,1745413155119
17,3795,1745413160125
18,5624,1745413165134
19,4050,1745413170138
20,3129,1745413175145
21,8500,1745413180149
22,7119,1745413185154
23,14225,1745413190159
24,2725,1745413195166
25,19474,1745413200173
26,8270,1745413205178
27,28365,1745413210187
28,10596,1745413215192
29,822,1745413220198
30,10157,1745413225203
31,18638,1745413230207
32,16626,1745413235214
33,27748,1745413240222
34,12669,1745413245223
35,19616,1745413250229
36,15344,1745413255238
37,3975,1745413260239
38,12073,1745413265241
39,23857,1745413270251
40,4523,1745413275254
41,9277,1745413280258
42,27413,1745413285269
43,29562,1745413290276
44,26600,1745413295280
45,16769,1745413300288
46,8345,1745413305290
47,6948,1745413310293
48,20901,1745413315302
49,14702,1745413320301
50,13632,1745413325305
51,28780,1745413330314
52,8832,1745413335317
53,23898,1745413340325
54,29294,1745413345333
55,27220,1745413350334
56,19528,1745413355336
57,17127,1745413360346
58,29241,1745413365353
59,29730,1745413370360
60,29993,1745413375369
61,2188,1745413380369
62,15734,1745413385376
63,24132,1745413390390
64,13477,1745413395394
65,24462,1745413400396
66,29945,1745413405401
67,28182,1745413410401
68,26956,1745413415406
69,4729,1745413420415
70,5942,1745413425417
71,17990,1745413430421
72,27376,1745413435430
73,14600,1745413440435
74,18350,1745413445444
75,20852,1745413450450
76,1899,1745413455456
77,9248,1745413460464
78,23804,1745413465474
79,13786,1745413470477
80,4090,1745413475483
81,9528,1745413480490
